image_var,name,tag,digest
KUBEVIRT_OPERATOR_IMAGE,ghcr.io/kaizentm/kubevirt/virt-operator,KUBEVIRT_VERSION,a485135a3d594b100c1a59cd774776184c054bfa923c880ef17fed46f92dfb86
KUBEVIRT_API_IMAGE,ghcr.io/kaizentm/kubevirt/virt-api,KUBEVIRT_VERSION,011a202878e8766782aea7d6e3591e207956ee434867b25da7120269cb2245e9
KUBEVIRT_CONTROLLER_IMAGE,ghcr.io/kaizentm/kubevirt/virt-controller,KUBEVIRT_VERSION,49243ccb0806acdab57d6618541c2f38d166e1bdac1b0731977a63f66852a837
KUBEVIRT_LAUNCHER_IMAGE,ghcr.io/kaizentm/kubevirt/virt-launcher,KUBEVIRT_VERSION,7391c8fc436e1c4c8ee9a34d1233915032e8212bb99dd73403aabdf29b643cb1
KUBEVIRT_HANDLER_IMAGE,ghcr.io/kaizentm/kubevirt/virt-handler,KUBEVIRT_VERSION,95f58560af8fd22ae839feb438bc154fb18d2d28a4d3a0870dc9f06dde74fc07
KUBEVIRT_VIRTIO_IMAGE,ghcr.io/kaizentm/kubevirt/virtio-container-disk,KUBEVIRT_VERSION,6094aac0d18504a57652d7e16707748513f194f2b2aa68651340eb5d858af92c
KUBEVIRT_LIBGUESTFS_TOOLS_IMAGE,ghcr.io/kaizentm/kubevirt/libguestfs-tools,KUBEVIRT_VERSION,9d2a36cd018e9c78ead1fe38455e39915fc197d02b919f33a78cac1d8a47cf48
KUBEVIRT_EXPORTPROXY_IMAGE,ghcr.io/kaizentm/kubevirt/virt-exportproxy,KUBEVIRT_VERSION,07e8f8c2fe5141f49ff29a2bcf3abe13a3f1d46477f94d4bcb8e673c3930865e
KUBEVIRT_EXPORSERVER_IMAGE,ghcr.io/kaizentm/kubevirt/virt-exportserver,KUBEVIRT_VERSION,cf0a4e6f74457b0c220f4934f436c3c4ea9cbd6576fa9fb2cf3931022dcd73d0
NETWORK_PASST_BINDING_IMAGE,ghcr.io/kaizentm/kubevirt/network-passt-binding,KUBEVIRT_VERSION,7a4ac98378e7fc2b98658157d90b62a676e78c872b9d667d68739e73cb86b6a0
NETWORK_PASST_BINDING_CNI_IMAGE,ghcr.io/kaizentm/kubevirt/network-passt-binding-cni,KUBEVIRT_VERSION,94ac916e42cd1500bbf1fe42a068d62e3b53ea6f3b786b3b5cdcf887066b6628
KUBEVIRT_PR_HELPER,ghcr.io/kaizentm/kubevirt/pr-helper,KUBEVIRT_VERSION,6238a197555dc86cb54deae61b27cb3a29a951132ea6a55a318b2793f9f0f61d
KUBEVIRT_SIDECAR_SHIM,ghcr.io/kaizentm/kubevirt/sidecar-shim,KUBEVIRT_VERSION,701fedafb417fbaa2f48f2ea93b4b376656004d53d974ebf155d53e42de641ad
KUBEVIRT_SYNC_CONTROLLER_IMAGE,ghcr.io/kaizentm/kubevirt/virt-synchronization-controller,KUBEVIRT_VERSION,8fabb43e969cd6a00f8b9c0490ec35e3aef7e1b35b8a06e341d6ee97fb1730e7
CNA_OPERATOR_IMAGE,quay.io/kubevirt/cluster-network-addons-operator,NETWORK_ADDONS_VERSION,0ec8c28176c12c2078ef34905c72da3031a9af51f76d4c2d23e22f75e9e1dbee
SSP_OPERATOR_IMAGE,quay.io/kubevirt/ssp-operator,SSP_VERSION,7a8d04480403bcbbdd5cd854701013bfe57a4d7ae57aad6e9c83aae331e91bfa
SSP_VALIDATOR_IMAGE,quay.io/kubevirt/kubevirt-template-validator,SSP_VERSION,87350bb8e68683509b8ffa72738ad719b22f48192b88bc58ab6223980c4ccee9
CDI_OPERATOR_IMAGE,quay.io/kubevirt/cdi-operator,CDI_VERSION,8b2028dc3695d1e3ec4b5d3ad0fff4e356f6e22f0c407cc70e5c551a55afaf47
CDI_CONTROLLER_IMAGE,quay.io/kubevirt/cdi-controller,CDI_VERSION,a173f818e6e7f2be3db6390b638399dd496bc2b5595550e4381ef9586a81c144
CDI_APISERVER_IMAGE,quay.io/kubevirt/cdi-apiserver,CDI_VERSION,7e36cab28362127345282b5f65ca358607cf275a4eacbfff9bafce18128d58e7
CDI_CLONER_IMAGE,quay.io/kubevirt/cdi-cloner,CDI_VERSION,ff5c705081d59bc62141138979178ca542ebe31ff29906eca23b6d8b5c89aca0
CDI_IMPORTER_IMAGE,quay.io/kubevirt/cdi-importer,CDI_VERSION,2ab689c89a7c9256fde8ccf7e13a6cfae7c89b7288fc756f139caf5930c39d10
CDI_UPLOADPROXY_IMAGE,quay.io/kubevirt/cdi-uploadproxy,CDI_VERSION,b6b3cfaad4886faa1762888c0dc92105cc90d678f4ac14e12917af77f49d91a6
CDI_UPLOADSERVER_IMAGE,quay.io/kubevirt/cdi-uploadserver,CDI_VERSION,db3bf75d7a940e545b1a38d0bfff7fdc271cfc1d64a77609e07a5d0f2e6683ad
HPPO_IMAGE,quay.io/kubevirt/hostpath-provisioner-operator,HPPO_VERSION,3737d52b8046c9c92dbf36fa9826af6da66f1b54063ad09ff77486727ba44ae5
HPP_IMAGE,quay.io/kubevirt/hostpath-provisioner,HPP_VERSION,bcd397fe2edfdbfa8378ec29a4cd5fe5e9d86fd8b689dcae2a2383ae6af993ad
HPP_CSI_IMAGE,quay.io/kubevirt/hostpath-csi-driver,HPP_VERSION,669911b1b4d30f68f5752a1502bb674d9fabe30ed2e0f46bf96908827f8c20cd
NODE_DRIVER_REG_IMAGE,registry.k8s.io/sig-storage/csi-node-driver-registrar,NODE_DRIVER_REG_VERSION,11f199f6bec47403b03cb49c79a41f445884b213b382582a60710b8c6fdc316a
LIVENESS_PROBE_IMAGE,registry.k8s.io/sig-storage/livenessprobe,LIVENESS_PROBE_VERSION,9b75b9ade162136291d5e8f13a1dfc3dec71ee61419b1bfc112e0796ff8a6aa9
CSI_SNAPSHOT_IMAGE,registry.k8s.io/sig-storage/csi-snapshotter,CSI_SNAPSHOT_VERSION,bc7be893ecc3ad524194aa6573b2f5c06cd469bdf21a500ab6c99c2ba1c4d64d
CSI_SIG_STORAGE_PROVISIONER_IMAGE,registry.k8s.io/sig-storage/csi-provisioner,CSI_SIG_STORAGE_PROVISIONER_VERSION,d078dc174323407e8cc6f0f9abd4efaac5db27838f1564d0253d5e3233e3f17f
KUBE_RBAC_PROXY_IMAGE,quay.io/openshift/origin-kube-rbac-proxy,KUBE_RBAC_PROXY_VERSION,e2def4213ec0657e72eb790ae8a115511d5b8f164a62d3568d2f1bff189917e8
KUBEVIRT_CONSOLE_PLUGIN_IMAGE,quay.io/kubevirt-ui/kubevirt-plugin,KUBEVIRT_CONSOLE_PLUGIN_VERSION,89269df1481bed69cac7095c8d8d875acbfa238e4b5735ab802cda90c9375a1b
KUBEVIRT_CONSOLE_PROXY_IMAGE,quay.io/kubevirt-ui/kubevirt-apiserver-proxy,KUBEVIRT_CONSOLE_PROXY_VERSION,935475c2850466aa5ac57e4de627fb177515cb2c402a95842ead095d82b6df5f
AAQ_OPERATOR_IMAGE,quay.io/kubevirt/aaq-operator,AAQ_VERSION,98c4d2e73c733468f3c4724c72c4d42411f49706cdfa843ce1d507c356621088
AAQ_SERVER_IMAGE,quay.io/kubevirt/aaq-server,AAQ_VERSION,dfb46682eb734e73a1142b9af5f94f2f70aa9a7e04a7c804565f2a89fbf0f989
AAQ_CONTROLLER_IMAGE,quay.io/kubevirt/aaq-controller,AAQ_VERSION,04199fad9d42e0d9206ae042545b48da4c3bf14995d87aa6d8c804b0f9beeea4
WASP_AGENT_IMAGE,quay.io/openshift-virtualization/wasp-agent,WASP_AGENT_VERSION,eabfa6a425213f520f7a9e5b81b43e8b6430779d42c5c8b1bfd48a4f1730447a
